customer_id,company_name,company_size_headcount,segment,revenue_band_gbp,industry_vertical,industry_sub_vertical,hq_region,num_sites,num_countries,ownership_type,parent_group_structure,regulatory_regime,ma_activity_flag_12m,leadership_change_flag_12m,funding_stage,employee_growth_rate_yoy,remote_hybrid_ratio,owns_sdwan,owns_swg,owns_fwaas,owns_casb,owns_ztna,owns_dlp,owns_dem,owns_browser_isolation,owns_email_security,owns_cspm,owns_sspm,owns_sandboxing_atp,owns_mdr,primary_vendor,multi_vendor_flag,deployment_model,contract_value_gbp,contract_length_months,months_since_contract_start,months_until_renewal,num_active_skus,bundle_vs_ala_carte,product_adoption_rate,feature_adoption_rate,concurrent_users_pct,licensed_vs_active_seats_ratio,bandwidth_utilisation_trend,peak_vs_avg_usage_ratio,policy_rule_count,api_usage_volume,admin_login_frequency,num_active_admins,unused_license_pct,overage_incidents_12m,mobile_remote_endpoint_ratio,cloud_app_usage_volume,shadow_it_events_12m,genai_llm_traffic_volume,api_integration_count,config_drift_events,throughput_growth_rate,self_service_portal_logins,support_tickets_last_12m,avg_ticket_severity,ticket_resolution_time_avg_hrs,repeat_ticket_rate,escalation_count_12m,sla_breach_count_12m,nps_score,csat_score,qbr_frequency,days_since_last_qbr,days_since_last_exec_touchpoint,onboarding_completion_days,time_to_first_value_days,security_incidents_last_12m,incident_severity_distribution,breach_risk_score,threats_blocked_trend,false_positive_rate,mean_time_to_detect_hrs,mean_time_to_respond_hrs,phishing_sim_click_rate,vuln_scan_findings_trend,compliance_audit_findings,cyber_insurance_renewal_flag,peer_breach_disclosure_flag,acv_trend_pct,payment_on_time_pct,discount_level_pct,upsell_history_count_24m,downsell_history_count_24m,negotiation_intensity_flag,budget_cycle_month,procurement_complexity_flag,multi_year_commitment_flag,competitive_rfp_flag_12m,champion_identified_flag,champion_seniority_level,num_engaged_stakeholders,decision_maker_turnover_12m,exec_sponsor_engagement_level,tech_vs_business_buyer_ratio,account_team_tenure_months,cross_sell_conversation_count,reference_willingness_flag,event_webinar_attendance_12m,industry_avg_adoption_rate,peer_cohort_penetration_pct,industry_regulatory_pressure_trend,industry_threat_landscape_severity,competitor_product_presence_flag,industry_ma_consolidation_trend,industry_cloud_migration_maturity,industry_remote_work_trend,recent_funding_round_flag,recent_breach_disclosed_flag,security_it_hiring_signal,cloud_migration_announcement_flag,digital_transformation_flag,expansion_announcement_flag,regulatory_investigation_flag,security_leadership_hire_flag,tech_stack_change_signal,esg_certification_pursuit_flag,website_product_page_visits,content_downloads_12m,webinar_registrations_12m,email_engagement_rate,rep_touch_frequency,proposal_quote_requests_12m,competitor_comparison_page_visits,pricing_page_visits,adoption_rate_trend_3m,adoption_rate_trend_12m,ticket_volume_trend,usage_trend_6m,nps_trend,security_incident_trend,seasonality_adjusted_usage,days_since_last_product_addition,upsell_velocity,renewal_risk_trajectory,engagement_recency_decay_score,churn_risk_flag,upsell_target_ngfw,upsell_target_ztna,upsell_target_dlp,upsell_target_casb,upsell_target_dem,upsell_target_browser,upsell_target_email_sec,upsell_target_cspm,upsell_target_mdr
11,Beacon & Co,441,Mid-Market,17500000,Technology,Technology - Sub3,South West,3,1,Public,Subsidiary,GDPR,Yes,No,Private Equity,1.8,65.6,1,1,1,0,0,0,0,1,0,1,0,0,0,Cato Networks,No,Fully Managed,70100,24,50,23,6,A la carte,55.3,47.6,68.7,1.04,27.5,2.45,60,110,19,1,40.8,0,56.5,67,8,677,8,3,-3.3,2,12,High,52.4,6.4,0,0,47,39.8,Monthly,75,415,44,46,4,Mixed,53,13.2,26.6,6.01,25.09,3.3,-12.6,2,No,No,-2.7,82.0,12.8,3,0,High,Apr,High,Yes,No,Yes,Director,2,No,Low,1.16,14,3,No,2,28.5,33.7,Stable,Medium,Yes,Medium,24.8,Decreasing,No,No,None,No,No,No,Yes,No,No,No,1,3,0,6.2,5,2,0,0,0.6,2.0,-0.3,9.8,-7.0,-6.5,-3.4,417,31.4,Worsening,39.9,No,0,0,0,0,0,0,1,0,0
12,Sterling Group,1894,Public Sector,56200000,Legal,Legal - Sub2,East Anglia,11,1,Private,Standalone,GDPR,No,No,N/A,23.3,59.1,1,1,1,0,1,0,1,0,1,0,0,0,0,Cato Networks,Yes,Co-Managed,211500,24,84,13,6,Bundle,46.4,35.1,63.7,1.57,-19.7,2.37,90,140,38,4,65.1,3,43.4,81,17,801,5,3,14.4,0,23,Low,66.0,20.6,1,0,28,42.8,Quarterly,5,84,48,30,5,Mostly Low,54,19.9,5.6,5.79,16.94,9.4,14.2,3,Yes,No,13.8,92.6,6.2,0,0,Medium,Jul,Low,No,Yes,Yes,C-Suite,3,No,Medium,1.93,17,2,No,2,39.6,28.2,Increasing,Medium,Unknown,Low,32.8,Stable,No,No,Medium,Yes,No,No,No,Yes,No,No,13,2,1,17.1,9,1,0,0,-3.6,-12.3,-4.1,-4.1,-0.6,0.4,-12.9,326,8.1,Stable,45.7,No,0,0,0,0,0,0,0,0,0
13,Nova PLC,87,SMB,3000000,Energy,Energy - Sub2,South West,1,1,Private,Standalone,GDPR,No,No,N/A,6.7,7.6,1,1,0,1,1,0,0,0,0,0,0,0,0,Zscaler,No,Fully Managed,68100,12,88,23,4,A la carte,32.4,29.8,69.0,0.8,-38.9,3.41,90,194,39,1,60.1,1,16.7,54,11,629,3,1,15.6,5,23,Medium,27.8,11.8,2,0,29,28.8,Annually,35,4,30,31,6,Mostly Low,66,-22.2,11.2,3.96,4.81,37.1,18.9,2,Yes,Yes,4.8,67.0,7.2,1,1,Medium,Oct,Medium,No,No,Yes,Manager,3,No,High,2.64,56,1,No,1,68.7,32.0,Increasing,High,Unknown,Medium,32.9,Stable,No,No,Medium,No,No,Yes,No,No,No,No,0,0,2,11.4,8,0,0,1,4.0,8.1,1.1,0.8,6.1,3.0,0.2,65,24.6,Worsening,35.3,Yes,0,0,0,0,0,0,0,0,0
14,Fusion Industries,131,SMB,6400000,Healthcare,Healthcare - Sub2,North,1,1,Private,Standalone,HIPAA-equiv,No,No,N/A,7.5,32.8,0,0,0,0,0,0,0,0,0,0,1,0,0,Cisco,No,Fully Managed,18900,12,65,13,3,A la carte,65.1,40.9,63.0,1.47,22.4,1.53,14,286,2,1,33.1,0,28.8,49,5,83,4,0,1.8,10,22,Medium,45.0,6.1,1,1,37,52.1,Quarterly,5,17,51,15,5,Mixed,45,-19.1,12.8,1.36,4.08,9.8,-7.6,0,Yes,No,-26.5,90.4,6.6,0,1,Medium,Oct,Low,No,No,No,None,4,No,None,2.25,30,1,No,4,57.9,25.5,Stable,High,Yes,Medium,29.3,Stable,No,No,Medium,Yes,No,No,No,No,No,No,0,1,1,30.9,3,0,0,2,-3.2,-12.3,2.1,17.8,6.6,0.7,6.4,239,23.9,Stable,61.8,No,0,1,0,1,1,0,0,0,1
15,Orbit Partners,584,Mid-Market,13200000,Media,Media - Sub3,London,7,1,Public,Standalone,GDPR,No,No,Post-IPO,5.8,37.7,0,0,1,0,0,0,0,0,0,0,0,0,0,Cisco,No,Co-Managed,40800,24,6,18,4,A la carte,62.1,55.1,34.8,1.21,-17.3,1.0,17,34,1,1,38.8,2,28.8,25,7,168,5,2,-6.4,26,19,Low,35.5,16.1,3,0,29,49.6,Quarterly,17,112,27,1,0,Mostly Low,43,-0.6,21.8,7.27,7.35,18.7,27.4,2,Yes,No,9.3,62.5,7.3,1,1,Low,Jul,High,Yes,Yes,Yes,Director,3,No,Medium,1.03,38,1,Yes,2,46.0,43.3,Increasing,Medium,No,Low,25.2,Increasing,No,No,High,No,No,No,No,No,Yes,No,1,1,0,0.0,7,1,0,0,1.5,4.1,-2.2,-2.3,-6.3,5.0,-6.1,105,16.3,Improving,56.1,No,0,0,0,1,0,0,0,0,0
16,Anchor PLC,1935,Corporate,47700000,Manufacturing,Manufacturing - Sub2,Scotland,12,2,PE-Backed,Standalone,GDPR,No,No,N/A,12.5,18.4,1,1,0,0,0,0,0,1,1,0,0,0,0,Palo Alto Networks,Yes,Fully Managed,119300,24,52,10,5,Bundle,91.4,76.1,66.1,2.4,-7.0,1.4,92,130,8,3,4.6,2,19.7,90,27,650,7,1,6.3,3,16,Medium,27.3,2.2,1,0,60,76.3,Quarterly,53,97,54,43,3,Mixed,14,8.5,7.3,10.1,12.81,14.8,-0.7,0,No,Yes,-19.8,75.3,20.9,0,0,Low,Jul,Medium,Yes,No,Yes,None,3,No,None,1.19,22,2,No,1,47.5,53.3,Increasing,High,No,Low,68.1,Increasing,No,No,None,No,Yes,No,No,No,No,No,2,1,2,31.1,8,0,0,3,8.7,27.0,0.0,11.1,7.3,8.7,-4.3,5,20.9,Improving,31.3,No,0,1,0,1,1,0,0,1,1
17,Orbit Industries,733,Mid-Market,32700000,Media,Media - Sub1,East Anglia,5,1,Private,Standalone,GDPR,No,No,N/A,25.9,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Zscaler,No,Fully Managed,20300,36,22,0,1,A la carte,43.8,38.6,47.7,1.28,9.7,2.11,1,60,86,1,44.0,1,58.7,17,5,347,2,0,-8.1,8,26,Low,43.7,3.9,1,1,15,32.3,Monthly,58,113,59,30,4,Mostly Low,65,-13.1,17.8,14.31,15.02,2.0,-9.3,1,Unknown,No,-21.9,70.3,12.9,0,0,Low,Apr,Low,No,No,Yes,C-Suite,1,No,High,0.43,3,1,No,0,67.2,25.1,Stable,Medium,Unknown,Low,60.2,Stable,No,No,None,No,No,No,No,No,No,No,8,2,0,5.6,2,1,0,0,-7.9,-30.2,2.6,0.3,5.9,-5.6,1.1,83,2.0,Improving,0.0,Yes,1,0,0,0,0,0,0,0,1
18,Ironwood PLC,2128,Enterprise,94200000,Financial Services,Financial Services - Sub2,East Anglia,22,5,Private,Subsidiary,FCA/PCI,No,No,Private Equity,-4.5,73.8,0,1,0,0,0,0,0,0,0,0,0,0,0,Fortinet,No,Self-Managed,128300,36,8,15,4,Bundle,99.0,94.1,64.6,0.98,23.8,1.47,17,26,1,3,3.1,2,66.9,67,18,545,6,1,6.3,0,10,Low,2.6,11.3,2,0,63,77.9,Monthly,53,168,34,12,4,Mixed,5,-3.3,20.7,9.05,10.5,34.7,4.9,2,Yes,No,7.5,72.5,28.3,1,0,Low,Oct,High,Yes,No,No,None,4,No,None,1.86,6,1,No,2,54.3,29.8,Increasing,Medium,No,High,41.9,Stable,No,No,Low,No,No,No,No,No,No,Yes,5,2,0,48.9,7,0,1,1,5.5,18.7,-0.1,13.3,9.3,-7.2,10.8,11,11.2,Improving,6.5,No,1,0,1,0,1,1,0,0,0
19,Halo Solutions,104,SMB,6100000,Financial Services,Financial Services - Sub1,South East,1,1,Private,Standalone,FCA/PCI,No,No,N/A,11.3,44.8,0,1,0,0,0,0,0,0,0,0,0,0,0,Fortinet,No,Fully Managed,14200,36,4,2,4,Bundle,46.9,40.3,43.8,1.68,-5.8,1.26,14,399,11,1,59.5,1,43.0,23,6,308,4,2,20.1,5,21,Low,39.8,8.2,0,0,25,46.2,Ad-hoc,55,10,31,35,1,Mixed,16,24.5,4.4,2.74,10.89,12.9,-1.8,3,No,No,2.4,62.9,23.1,1,0,Low,Jan,High,Yes,No,Yes,C-Suite,3,No,Medium,2.09,14,2,Yes,4,71.1,10.6,Stable,Medium,Unknown,High,37.3,Increasing,No,No,Medium,No,Yes,Yes,No,Yes,No,No,13,2,0,0.0,6,0,0,2,-0.2,-0.4,3.2,4.9,8.3,-2.4,-4.7,110,9.7,Improving,49.0,No,0,0,0,0,0,0,0,1,0
20,Nova & Co,70,SMB,2400000,Healthcare,Healthcare - Sub3,Midlands,1,1,PE-Backed,Standalone,HIPAA-equiv,No,No,Private Equity,-10.8,51.0,1,1,1,0,0,0,1,0,0,0,0,1,0,Palo Alto Networks,Yes,Co-Managed,105900,24,72,8,5,Bundle,51.1,36.8,17.9,1.38,-4.5,1.9,100,47,39,1,51.4,1,47.2,40,2,173,5,2,18.0,3,20,Medium,50.0,0.0,3,0,6,44.1,Monthly,21,166,13,24,5,Mostly Low,47,-0.9,1.6,0.43,8.83,18.6,5.5,3,Yes,No,8.3,99.3,9.9,1,0,Medium,Jan,Low,No,No,Yes,VP,1,No,High,1.64,44,1,Yes,3,42.2,24.6,Stable,Medium,Unknown,Low,60.7,Stable,No,No,Medium,No,No,Yes,No,Yes,No,No,4,2,2,37.3,4,0,0,4,3.7,8.5,-3.4,9.8,-6.1,6.2,-4.3,196,11.5,Worsening,60.7,No,0,0,0,0,0,0,0,0,0
21,Nova Partners,20,SMB,500000,Technology,Technology - Sub1,South East,1,1,Private,Standalone,GDPR,No,No,Series B+,22.7,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Fortinet,Yes,Co-Managed,8000,24,14,1,2,A la carte,41.5,29.2,47.0,0.8,-13.5,2.66,1,380,3,1,67.1,0,57.6,87,11,621,3,1,-7.8,13,16,Medium,16.1,18.0,1,1,3,36.8,Ad-hoc,36,48,52,23,3,Mostly Low,61,55.7,0.0,0.75,4.99,14.4,-3.2,3,No,No,5.9,100.0,17.9,1,0,High,Oct,Medium,No,No,No,None,4,Yes,Low,3.42,39,0,No,2,67.9,37.6,Stable,Low,No,Low,59.9,Stable,No,No,Low,No,No,No,No,No,No,No,6,3,3,35.9,4,1,1,0,5.3,14.3,4.9,-12.1,-8.4,3.6,-0.3,45,24.6,Improving,22.1,No,0,0,1,0,0,0,1,0,0
22,Meridian Industries,74,Mid-Market,3100000,Manufacturing,Manufacturing - Sub2,Scotland,1,1,Private,Subsidiary,GDPR,No,No,Post-IPO,6.7,47.0,0,0,0,0,0,0,0,0,0,0,0,0,1,Zscaler,Yes,Fully Managed,21600,24,89,3,3,Bundle,25.8,18.8,46.6,1.98,5.4,1.0,13,8,26,1,68.1,0,50.6,54,16,57,1,3,2.4,6,17,Low,25.4,0.0,1,2,21,28.1,Quarterly,40,105,53,37,3,Mostly Low,68,-8.5,9.4,3.07,3.69,7.1,54.4,2,Yes,No,-8.6,63.2,30.2,0,0,Medium,Apr,Medium,No,No,Yes,VP,3,No,Medium,1.27,15,3,No,0,72.4,52.8,Stable,Medium,Unknown,Medium,48.7,Stable,No,No,None,No,Yes,No,No,No,No,Yes,9,0,0,9.9,9,0,0,1,-3.2,-12.0,11.5,12.8,-7.7,-3.7,-1.4,60,5.8,Stable,35.2,Yes,1,0,0,0,0,0,0,0,0
23,Halo PLC,1185,Public Sector,54000000,Technology,Technology - Sub1,Midlands,10,1,Private,Standalone,GDPR,No,No,N/A,-9.9,67.4,1,0,1,0,0,0,0,0,1,0,0,0,0,Fortinet,No,Fully Managed,90100,12,22,5,3,Bundle,41.6,27.0,80.5,0.8,27.5,2.2,43,224,6,3,76.2,2,58.9,40,8,411,3,4,24.1,3,27,Low,29.7,13.0,3,0,27,44.4,Monthly,34,184,40,10,2,Mostly High,67,20.5,24.7,0.77,1.47,23.7,-19.8,3,Unknown,No,-18.2,82.5,9.3,0,0,High,Apr,Medium,No,No,Yes,C-Suite,1,No,Medium,0.2,58,1,Yes,2,45.1,10.3,Stable,High,No,Low,66.5,Increasing,No,No,None,Yes,No,No,No,No,No,Yes,0,0,1,3.7,5,1,2,2,-1.3,-3.4,0.0,4.0,1.7,-1.1,3.1,108,8.9,Stable,36.8,Yes,0,0,0,0,1,0,0,0,0
